Date first seen,Proto,Src IP Addr,Dst IP Addr,Dst Pt,In Byte,Out Byte,External,pattern_instance,pattern
2023-07-27 19:41:29.490,TCP,172.16.1.2,51.124.78.146,443.0,    8535,   14775,True,52,41
2023-07-27 19:41:29.494,TCP,172.16.1.2,51.124.78.146,443.0,    4500,   14475,True,0,-1
2023-07-27 19:41:29.865,TCP,172.16.1.3,23.65.202.147,443.0,    4119,   21480,True,46,18
2023-07-27 19:41:29.985,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    4422,True,49,7
2023-07-27 19:41:30.742,TCP,172.16.1.3,193.51.224.48,80.0,    2118,    3915,True,0,-1
2023-07-27 19:41:30.743,TCP,172.16.1.3,193.51.224.22,80.0,   32385,   2.8 M,True,0,-1
2023-07-27 19:41:31.844,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,39,2
2023-07-27 19:41:32.290,TCP,172.16.1.3,172.17.0.2,25.0,    2460,    2406,False,53,0
2023-07-27 19:41:33.630,TCP,172.16.1.4,172.17.0.2,25.0,    2490,    2406,False,53,0
2023-07-27 19:41:34.874,TCP,172.16.1.3,20.54.110.119,443.0,   99480,   57999,True,0,-1
2023-07-27 19:41:35.329,TCP,172.16.1.3,20.242.39.171,443.0,   17478,   14091,True,54,3
2023-07-27 19:41:36.190,TCP,172.16.1.3,23.65.202.147,443.0,    4119,   21480,True,55,18
2023-07-27 19:41:36.291,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    3825,True,56,7
2023-07-27 19:41:36.327,UDP,172.16.1.3,172.16.0.2,53.0,     240,     651,False,0,-1
2023-07-27 19:41:36.353,TCP,172.16.1.3,193.51.224.22,80.0,   23229,   2.8 M,True,57,19
2023-07-27 19:41:36.354,TCP,172.16.1.3,193.51.224.48,80.0,   33165,   2.8 M,True,57,19
2023-07-27 19:41:36.909,TCP,172.16.1.2,172.17.0.2,25.0,    2502,    2406,False,58,2
2023-07-27 19:41:37.364,TCP,172.16.1.3,172.17.0.2,25.0,    2490,    2406,False,59,5
2023-07-27 19:41:37.980,UDP,172.16.1.2,172.16.0.2,53.0,     234,     804,False,60,21
2023-07-27 19:41:38.046,TCP,172.16.1.2,20.118.138.130,443.0,    2886,   21789,True,61,39
2023-07-27 19:41:38.674,TCP,172.16.1.4,172.17.0.2,25.0,    2460,    2406,False,59,5
2023-07-27 19:41:39.087,UDP,172.16.1.2,172.16.0.2,53.0,     219,     510,False,62,29
2023-07-27 19:41:41.990,TCP,172.16.1.2,172.17.0.2,25.0,    2502,    2406,False,58,2
2023-07-27 19:41:42.444,TCP,172.16.1.3,172.17.0.2,25.0,    2490,    2406,False,63,5
2023-07-27 19:41:43.176,UDP,172.16.1.3,172.16.0.2,53.0,     186,     876,False,0,-1
2023-07-27 19:41:43.319,UDP,172.16.1.3,172.16.1.1,53.0,     186,     843,False,21,24
2023-07-27 19:41:43.373,TCP,172.16.1.3,13.107.246.42,443.0,    3435,   23784,True,0,-1
2023-07-27 19:41:43.720,TCP,172.16.1.4,172.17.0.2,25.0,    2502,    2406,False,63,5
2023-07-27 19:41:46.519,UDP,172.16.1.3,172.16.0.2,53.0,     171,     351,False,53,0
2023-07-27 19:41:46.556,UDP,172.16.1.3,172.16.0.2,53.0,     195,     276,False,0,-1
2023-07-27 19:41:46.572,UDP,172.16.1.3,172.16.0.2,53.0,     195,     426,False,0,-1
2023-07-27 19:41:47.048,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,58,2
2023-07-27 19:41:47.114,UDP,172.16.1.3,172.16.0.2,53.0,     165,     744,False,0,-1
2023-07-27 19:41:47.145,UDP,172.16.1.3,172.16.0.2,53.0,     216,     417,False,0,-1
