,,Test,BN_indep,BN_timedep_5step,TVAE,CTGAN,E-WGAN-GP,NetShare,Transformer,Our
Density,81,0.6908200000000001,0.23478,0.29338,0.43326,0.56102,0.017779999999999997,0.33692,0.5403,0.4014999999999999
Density,82,0.6869000000000001,0.2279,0.30166,0.4939,0.56642,0.024819999999999995,0.3183,0.69508,0.41898
Density,83,0.6845800000000001,0.23274,0.29414,0.50072,0.5635600000000001,0.01384,0.31526,0.6291800000000001,0.40484
Density,84,0.68044,0.24682,0.29626,0.51602,0.5667,0.0186,0.32344,0.6255200000000001,0.40326
Density,85,0.6830200000000001,0.22762,0.29672,0.49258,0.53552,0.011940000000000001,0.32636,0.74602,0.39836
Density,86,0.6809000000000001,0.24244,0.3026,0.5092800000000001,0.56498,0.015080000000000001,0.32380000000000003,0.6443000000000001,0.40872
Density,87,0.7082200000000001,0.23928,0.29044,0.5170600000000001,0.5611,0.01614,0.3291,0.68898,0.41308
Density,88,0.6804,0.24024,0.30432,0.50806,0.5438,0.020839999999999997,0.31842000000000004,0.6189000000000001,0.40016
Density,89,0.6806400000000001,0.23818,0.2933199999999999,0.5056,0.58106,0.01476,0.31862,0.4294,0.4068800000000001
Density,90,0.68786,0.2403,0.29998,0.49468,0.55676,0.01838,0.34104,0.33944,0.4253599999999999
Density,91,0.69648,0.2465399999999999,0.2968,0.51034,0.5554,0.01924,0.3444,0.66034,0.41758
Density,92,0.70408,0.23846,0.3022,0.46726,0.55476,0.02728,0.31592000000000003,0.63214,0.4256
Density,93,0.69452,0.23582,0.2948,0.49974,0.57984,0.018139999999999996,0.31642000000000003,0.68764,0.4173
Density,94,0.6663,0.23496,0.29496,0.46608,0.5665,0.015080000000000001,0.32862,0.64622,0.39838
Density,95,0.69302,0.24054,0.28754,0.48132,0.5790000000000001,0.01436,0.33706,0.57664,0.39492
Density,96,0.6781600000000001,0.23326,0.291,0.5100600000000001,0.55062,0.01224,0.31526,0.5431800000000001,0.40252
Density,97,0.6782600000000001,0.23344,0.28958,0.48254,0.58014,0.020900000000000002,0.3041,0.7227600000000001,0.39642
Density,98,0.69952,0.2437,0.29952,0.5005200000000001,0.56708,0.01672,0.31974,0.7548800000000001,0.41822
Density,99,0.7012,0.2332199999999999,0.3006,0.48572,0.58286,0.01298,0.29998,0.6524400000000001,0.42318
Coverage,100,0.5911,0.3863,0.4447,0.3163,0.5044,0.0231,0.2221,0.0187,0.5963
Coverage,101,0.5856,0.3583,0.4367,0.3195,0.5209,0.0246,0.219,0.0203,0.6001
Coverage,102,0.5822,0.3626,0.4461,0.3305,0.4997,0.0236,0.2082,0.0315,0.5967
Coverage,103,0.5817,0.3733,0.4423,0.3382,0.5104,0.0212,0.2256,0.0308,0.5863
Coverage,104,0.5773,0.3864,0.4289,0.3341,0.5101,0.022,0.22,0.0307,0.576
Coverage,105,0.599,0.3658,0.4393,0.3263,0.5047,0.0181,0.2159,0.0317,0.576
Coverage,106,0.5799,0.3846,0.4504,0.3324,0.5066,0.0229,0.2146,0.0309,0.5793
Coverage,107,0.5817,0.3732,0.4419,0.3386,0.5106,0.026,0.2255,0.0307,0.5916
Coverage,108,0.5786,0.3809,0.4358,0.3303,0.5018,0.0227,0.2101,0.0323,0.5665
Coverage,109,0.5862,0.3784,0.4516,0.31,0.4968,0.0207,0.2294,0.0162,0.5851
Coverage,110,0.5951,0.3765,0.444,0.2972,0.4931,0.0233,0.2247,0.0149,0.6151
Coverage,111,0.5763,0.3771,0.4354,0.3271,0.5016,0.0215,0.2151,0.0305,0.5875
Coverage,112,0.5988,0.3801,0.4443,0.3404,0.5048,0.0227,0.2165,0.0345,0.6005
Coverage,113,0.5874,0.3716,0.4469,0.331,0.5077,0.0202,0.2277,0.032,0.59
